name,number,position,status,height,weight,experience,college,team_key
Jamal Agnew,39,WR,ACT,70,190,6,San Diego,6
Josh Allen,41,OLB,ACT,77,262,4,Kentucky,6
Israel Antwine,93,DT,CUT,75,309,,R,6
Dan Arnold,85,TE,ACT,78,220,6,Wisconsin-Platteville,6
Kevin Austin Jr.,80,WR,DEV,74,200,,R,6
Ben Bartch,78,G,RES,78,309,3,St. John's (MN),6
C.J. Beathard,3,QB,ACT,74,215,6,Iowa,6
Rashod Berry,56,LB,DEV,76,255,2,Ohio State,6
Montaric Brown,30,CB,ACT,72,190,,R,6
Tevaughn Campbell,29,DB,ACT,72,200,3,Regina,6
Tyson Campbell,32,CB,ACT,73,195,2,Georgia,6
K'Lavon Chaisson,45,LB,ACT,75,254,3,LSU,6
Andre Cisco,5,FS,ACT,72,210,2,Syracuse,6
Chris Claybrooks,6,CB,ACT,69,180,3,Memphis,6
Snoop Conner,24,RB,ACT,70,222,,R,6
Logan Cooke,9,P,ACT,77,230,5,Mississippi State,6
Coy Cronk,64,OT,DEV,76,318,1,Iowa,6
De'Shaan Dixon,47,LB,ACT,77,260,,R,6
Mario Edwards,,DT,TRT,75,280,8,Florida State,6
Evan Engram,17,TE,ACT,75,240,6,Mississippi,6
Travis Etienne,1,RB,ACT,70,215,2,Clemson,6
Luke Farrell,89,TE,ACT,77,258,2,Ohio State,6
Foley Fatukasi,94,DE,ACT,76,318,5,Connecticut,6
Nick Ford,77,G,CUT,77,310,,R,6
Luke Fortner,79,C,ACT,78,300,,R,6
Tyree Gillespie,27,DB,ACT,72,207,2,Missouri,6
Adam Gotsis,96,DE,ACT,76,287,7,Georgia Tech,6
Shaquill Griffin,26,CB,RES,72,198,6,UCF,6
DaVon Hamilton,52,NT,ACT,76,320,3,Ohio State,6
Blake Hance,73,G,ACT,78,310,2,Northwestern,6
JaMycal Hasty,22,RB,ACT,68,205,3,Baylor,6
Darrell Henderson,25,RB,CUT,68,208,4,Memphis,6
Tre Herndon,37,CB,ACT,71,185,5,Vanderbilt,6
Rayshawn Jenkins,2,S,ACT,73,220,6,Miami,6
Caleb Johnson,57,LB,ACT,74,227,2,Houston Baptist University,6
Willie Johnson,81,WR,RES,72,178,,R,6
Zay Jones,7,WR,ACT,74,200,6,East Carolina,6
Marvin Jones,11,WR,ACT,74,198,11,California,6
Tim Jones,15,WR,ACT,73,210,1,Southern Mississippi,6
Gregory Junior,34,CB,DEV,72,190,,R,6
Arden Key,49,LB,ACT,77,240,5,LSU,6
Christian Kirk,13,WR,ACT,71,200,5,Texas A&M,6
Trevor Lawrence,16,QB,ACT,78,213,2,Clemson,6
Jeremiah Ledbetter,98,DE,DEV,75,299,2,Arkansas,6
Walker Little,72,OT,ACT,79,309,2,Stanford,6
Devin Lloyd,33,ILB,ACT,75,235,,R,6
Chris Manhertz,84,TE,ACT,78,255,7,Canisius College,6
Ross Matiscik,46,LS,ACT,72,235,3,Baylor,6
James McCourt,12,K,DEV,73,215,,R,6
John Miller,67,G,CUT,75,315,8,Louisville,6
Jaylon Moore,87,WR,DEV,71,191,1,Tennessee-Martin,6
Grant Morgan,55,LB,CUT,71,224,,R,6
Chad Muma,48,LB,ACT,75,239,,R,6
James Murray,67,C,DEV,77,304,3,Holy Cross,6
Foye Oluokun,23,ILB,ACT,74,229,5,Yale,6
Ayo Oyelola,35,DB,DEV,71,213,,R,6
Riley Patterson,10,K,ACT,72,190,2,Memphis,6
E.J. Perry,4,QB,DEV,74,210,,R,6
Corey Peters,98,DE,ACT,75,335,13,Kentucky,6
Gerrit Prince,86,TE,DEV,77,240,,R,6
Kendric Pryor,14,WR,ACT,71,187,,R,6
Shaquille Quarterman,50,LB,ACT,72,234,3,Miami,6
Calvin Ridley,,WR,SUS,73,190,5,Alabama,6
Roy Robertson-Harris,95,DE,ACT,77,298,6,Texas-El Paso,6
Cam Robinson,74,OT,ACT,78,320,6,Alabama,6
James Robinson,25,RB,TRD,69,219,3,Illinois State,6
Mekhi Sargent,36,RB,DEV,68,208,2,Iowa,6
Brandon Scherff,68,G,ACT,77,319,8,Iowa,6
Tyler Shatley,69,G,ACT,75,310,9,Clemson,6
Jordan Smith,92,DE,RES,78,255,2,UAB,6
Dawuane Smoot,91,DE,ACT,75,264,6,Illinois,6
Ty Summers,54,LB,ACT,73,241,4,TCU,6
Jawaan Taylor,75,OT,ACT,77,312,4,Florida,6
Daniel Thomas,20,SAF,ACT,70,215,3,Auburn,6
Deionte Thompson,,SAF,DEV,73,195,4,Alabama,6
Josh Thompson,,DB,TRT,72,194,,R,6
Nick Thurman,91,DE,DEV,76,305,2,Houston,6
Cole Van Lanen,70,G,ACT,76,305,1,Wisconsin,6
Travon Walker,44,OLB,ACT,77,275,,R,6
Darious Williams,31,CB,ACT,69,187,5,UAB,6
Darryl Williams,60,C,DEV,74,304,1,Mississippi State,6
Seth Williams,81,WR,DEV,75,211,1,Auburn,6
Andrew Wingard,42,DB,ACT,72,209,4,Wyoming,6
Rodney Adams,18,WR,RSN,73,189,2,University of South Florida,32
Tony Adams,22,DB,ACT,72,205,,R,32
Kwon Alexander,9,OLB,ACT,73,227,8,LSU,32
Bradlee Anae,50,DE,DEV,75,260,3,Utah,32
Nick Bawden,48,RB,RES,74,245,5,San Diego State,32
Mekhi Becton,77,OT,RES,79,363,3,Louisville,32
Braxton Berrios,10,WR,ACT,69,190,5,Miami,32
Tarik Black,3,WR,CUT,75,213,1,Texas,32
Duane Brown,71,OT,ACT,76,329,15,Virginia Tech,32
Lawrence Cager,81,TE,TRC,77,220,2,Georgia,32
Michael Carter,32,RB,ACT,68,201,2,North Carolina,32
Michael Carter II,30,CB,ACT,70,184,2,Duke,32
Irvin Charles,82,WR,DEV,76,219,,R,32
Micheal Clemons,72,DE,ACT,77,270,,R,32
Tyler Conklin,83,TE,ACT,75,254,5,Central Michigan,32
Myron Cunningham,72,OT,TRD,78,325,,R,32
Vinny Curry,99,DE,ACT,75,279,11,Marshall,32
Ashtyn Davis,21,SAF,ACT,73,202,3,California,32
Corey Davis,84,WR,ACT,75,209,6,Western Michigan,32
Laurent Duvernay-Tardif,72,G,ACT,77,321,8,McGill,32
Brandin Echols,26,CB,ACT,70,175,2,Kentucky,32
George Fant,76,OT,ACT,77,322,7,Western Kentucky,32
Dan Feeney,67,G,ACT,76,310,6,Indiana,32
Joe Flacco,19,QB,ACT,78,245,15,Delaware,32
John Franklin-Myers,91,DE,ACT,76,288,5,Stephen F. Austin State,32
Sauce Gardner,1,CB,ACT,75,200,,R,32
Chris Glaser,64,G,DEV,76,300,,R,32
Breece Hall,20,RB,RES,73,220,,R,32
Bryce Hall,37,CB,ACT,73,202,3,Virginia,32
Justin Hardee,34,DB,ACT,73,200,6,Illinois,32
Marcell Harris,36,LB,ACT,72,208,5,Florida,32
Thomas Hennessy,42,LS,ACT,74,246,6,Duke,32
Nate Herbig,65,G,ACT,76,334,4,Stanford,32
Grant Hermanns,63,OT,TRC,79,300,1,Purdue,32
Bryce Huff,47,DE,ACT,75,255,3,Memphis,32
Craig James,31,DB,DEV,70,195,3,Southern Illinois,32
Ty Johnson,25,RB,ACT,70,210,4,Maryland,32
Jermaine Johnson II,52,DE,ACT,77,262,,R,32
Lamarcus Joyner,29,S,ACT,68,185,9,Florida State,32
Bam Knight,35,RB,ACT,71,210,,R,32
Carl Lawson,58,DE,ACT,74,265,6,Auburn,32
Zane Lewis,33,CB,PUP,73,190,2,Air Force,32
Ty Long,,P,CUT,74,205,4,UAB,32
Braden Mann,7,P,ACT,71,198,3,Texas A&M,32
Jonathan Marshall,96,DT,DEV,75,310,2,Arkansas,32
Jake Martin,54,DE,TRD,74,242,5,Temple,32
Jared Mayden,,SAF,DEV,72,205,1,Alabama,32
Conor McDermott,69,OT,TRT,80,305,6,UCLA,32
Connor McGovern,60,C,ACT,76,306,7,Missouri,32
Denzel Mims,11,WR,ACT,75,207,3,Baylor,32
Max Mitchell,61,OT,RSN,78,299,,R,32
Elijah Moore,8,WR,ACT,70,178,2,Mississippi,32
Jimmy Moreland,47,CB,DEV,71,182,4,James Madison,32
C.J. Mosley,57,ILB,ACT,74,231,8,Alabama,32
Kai Nacua,46,DB,DEV,72,205,3,BYU,32
Hamsah Nasirildeen,45,LB,DEV,75,215,2,Florida State,32
Cedric Ogbuehi,66,OT,RES,77,306,8,Texas A&M,32
Adam Pankey,78,G,DEV,77,307,4,West Virginia,32
Will Parks,39,S,ACT,72,200,7,Arizona,32
Sheldon Rankins,98,NT,ACT,74,305,7,Louisville,32
D.J. Reed,4,CB,ACT,69,188,5,Kansas State,32
Mike Remmers,75,G,ACT,77,308,10,Oregon State,32
James Robinson,23,RB,ACT,69,219,3,Illinois State,32
Jeremy Ruckert,89,TE,ACT,77,250,,R,32
Dru Samia,65,G,PUP,77,308,3,Oklahoma,32
Sam Schlueter,78,OT,DEV,78,325,,R,32
Greg Senat,64,OT,RSN,78,305,4,Wagner,32
Nathan Shepherd,97,DE,ACT,76,315,5,Fort Hays,32
Jamien Sherwood,44,LB,ACT,74,216,2,Auburn,32
Tanzel Smart,79,DT,DEV,73,295,4,Tulane,32
Eric Smith,,OT,TRD,76,308,3,Virginia,32
Jeff Smith,16,WR,ACT,73,195,3,Boston College,32
Diontae Spencer,18,WR,DEV,68,170,4,McNeese State,32
Marquiss Spencer,51,DE,CUT,76,300,1,Mississippi State,32
Chris Streveler,15,QB,DEV,73,216,3,South Dakota,32
Chazz Surratt,55,LB,DEV,74,233,2,North Carolina,32
Solomon Thomas,94,DE,ACT,74,256,6,Stanford,32
Laken Tomlinson,78,G,ACT,75,323,8,Duke,32
C.J. Uzomah,87,TE,ACT,77,271,8,Auburn,32
Alijah Vera-Tucker,75,OT,RES,77,308,2,USC,32
Jonathan Ward,,RB,CUT,72,202,3,Central Michigan,32
Mike White,5,QB,ACT,77,218,4,Western Kentucky,32
Jordan Whitehead,3,FS,ACT,70,198,5,Pittsburgh,32
Quinnen Williams,95,DT,ACT,75,303,4,Alabama,32
Quincy Williams,56,ILB,ACT,71,225,4,Murray State,32
Garrett Wilson,17,WR,ACT,72,192,,R,32
Zach Wilson,2,QB,ACT,74,214,2,BYU,32
Kenny Yeboah,88,TE,ACT,76,250,2,Mississippi,32
Greg Zuerlein,6,K,ACT,72,187,11,Missouri Western,32
Josh Allen,17,QB,ACT,77,237,5,Wyoming,14
Alec Anderson,70,OT,DEV,77,305,,R,14
Eli Ankou,51,DT,DEV,75,325,6,UCLA,14
Tavon Austin,86,WR,CUT,68,185,10,West Virginia,14
Matt Barkley,11,QB,DEV,74,234,10,USC,14
Boogie Basham,55,DE,ACT,75,281,2,Wake Forest,14
Tyler Bass,2,K,ACT,70,183,3,Georgia Southern,14
Ryan Bates,71,G,ACT,76,302,4,Penn State,14
Christian Benford,47,CB,RES,73,205,,R,14
Terrel Bernard,43,OLB,ACT,73,224,,R,14
Raheem Blackshear,35,RB,TRC,69,190,,R,14
Ike Boettger,65,G,PUP,78,313,5,Iowa,14
C.J. Brewer,98,DT,ACT,74,290,,R,14
Cortez Broughton,,DT,DEV,74,293,3,Cincinnati,14
John Brown,89,WR,ACT,70,178,8,Pittsburg State (KS),14
Spencer Brown,79,OT,ACT,80,311,2,Northern Iowa,14
Brandin Bryant,93,DT,TRD,74,305,1,Florida Atlantic,14
James Cook,28,RB,ACT,71,190,,R,14
Isaiah Coulter,,WR,CUT,74,198,2,Rhode Island,14
Jamison Crowder,80,WR,RES,69,177,8,Duke,14
Zach Davidson,84,TE,DEV,79,251,1,Central Missouri,14
Gabe Davis,13,WR,ACT,74,210,3,UCF,14
Dion Dawkins,73,OT,ACT,77,320,6,Temple,14
Stefon Diggs,14,WR,ACT,72,191,8,Maryland,14
Tyrel Dodson,53,MLB,ACT,72,237,3,Texas A&M,14
Tommy Doyle,72,OT,RES,80,320,2,Miami (Ohio),14
Tremaine Edmunds,49,MLB,ACT,77,250,5,Virginia Tech,14
Kaiir Elam,24,CB,ACT,73,191,,R,14
Prince Emili,94,DT,TRC,74,300,,R,14
A.J. Epenesa,57,DE,ACT,78,260,3,Iowa,14
Reid Ferguson,69,LS,ACT,74,235,6,LSU,14
Tanner Gentry,87,WR,DEV,74,209,1,Wyoming,14
Joe Giles-Harris,42,LB,DEV,74,240,2,Duke,14
Reggie Gilliam,41,FB,ACT,72,244,3,Toledo,14
Damar Hamlin,3,S,ACT,72,200,2,Pittsburgh,14
Bobby Hart,68,OT,ACT,77,310,8,Florida State,14
Nyheim Hines,20,RB,ACT,69,198,5,N.C. State,14
Isaiah Hodgins,16,WR,TRC,75,201,2,Oregon State,14
Micah Hyde,23,S,RES,72,197,10,Iowa,14
Ja'Marcus Ingram,46,DB,DEV,74,190,,R,14
Dane Jackson,30,CB,ACT,71,180,3,Pittsburgh,14
Duke Johnson,22,RB,DEV,69,210,8,Miami,14
Jaquan Johnson,4,FS,ACT,70,191,4,Miami,14
KeeSean Johnson,81,WR,DEV,73,201,3,Fresno State,14
Taron Johnson,7,CB,ACT,71,192,5,Weber State,14
Kingsley Jonathan,,DE,DEV,76,260,,R,14
DaQuan Jones,92,DE,ACT,76,320,9,Penn State,14
Taiwan Jones,25,RB,ACT,72,195,12,Eastern Washington,14
Case Keenum,18,QB,ACT,73,215,10,Houston,14
A.J. Klein,52,OLB,ACT,73,240,10,Iowa State,14
Dawson Knox,88,TE,ACT,76,254,4,Mississippi,14
Jake Kumerow,15,WR,RES,76,209,5,Wisconsin-Whitewater,14
Shaq Lawson,90,DE,ACT,75,265,7,Clemson,14
Cam Lewis,39,CB,ACT,69,183,3,Buffalo,14
Mike Love,56,DE,DEV,75,255,2,University of South Florida,14
Greg Mancz,62,C,TRD,76,302,7,Toledo,14
Dean Marlowe,31,S,ACT,73,205,6,James Madison,14
Sam Martin,8,P,ACT,73,205,10,Appalachian State,14
Tyler Matakevich,44,ILB,ACT,73,235,7,Temple,14
Jared Mayden,,SAF,TRT,72,205,1,Alabama,14
Isaiah McKenzie,6,WR,ACT,68,173,6,Georgia,14
Kyler McMichael,31,DB,DEV,72,210,,R,14
Matt Milano,58,OLB,ACT,72,223,6,Boston College,14
Jordan Miller,32,DB,CUT,74,190,3,Washington,14
Von Miller,40,OLB,RES,75,250,12,Texas A&M,14
Quintin Morris,85,TE,ACT,74,252,1,Bowling Green,14
Mitch Morse,60,C,ACT,78,305,8,Missouri,14
Zack Moss,20,RB,TRD,69,205,3,Utah,14
Justin Murray,71,OT,ACT,77,315,5,Cincinnati,14
Siran Neal,33,DB,ACT,72,206,5,Jacksonville State,14
Ed Oliver,91,NT,ACT,73,287,4,Houston,14
Jordan Phillips,97,NT,ACT,78,330,8,Oklahoma,14
Jordan Poyer,21,FS,ACT,72,191,10,Oregon State,14
David Quessenberry,77,OT,ACT,77,310,5,San Jose State,14
Xavier Rhodes,27,CB,ACT,73,210,10,Florida State,14
Jaquarii Roberson,,WR,TRC,73,182,,R,14
Greg Rousseau,50,DE,ACT,78,266,2,Miami,14
Rodger Saffold,76,G,ACT,77,325,13,Indiana,14
Tim Settle,99,NT,ACT,75,313,5,Virginia Tech,14
Khalil Shakir,10,WR,ACT,72,190,,R,14
Devin Singletary,26,RB,ACT,67,203,4,Florida Atlantic,14
Andre Smith,9,LB,TRD,72,240,5,North Carolina,14
Baylon Spector,54,LB,ACT,72,233,,R,14
Marquez Stevenson,5,WR,DEV,70,180,2,Houston,14
Tommy Sweeney,89,TE,ACT,77,251,4,Boston College,14
Ryan Van Demark,74,OT,DEV,77,304,,R,14
Greg Van Roten,75,C,ACT,76,295,8,Penn,14
Kendal Vickers,,DE,DEV,75,295,3,Tennessee,14
Tre'Davious White,27,CB,ACT,71,192,6,LSU,14
Justin Zimmer,61,DT,TRT,75,292,4,Ferris State,14
Nick Allegretti,73,G,ACT,76,310,4,Illinois,25
Ugo Amadi,27,SAF,DEV,69,201,4,Oregon,25
Matt Ammendola,19,K,TRC,69,195,2,Oklahoma State,25
Zayne Anderson,39,SAF,DEV,74,206,1,BYU,25
Blake Bell,81,TE,RES,78,252,8,Oklahoma,25
Kendall Blanton,,TE,DEV,78,262,2,Missouri,25
Nick Bolton,32,MLB,ACT,71,237,2,Missouri,25
Dicaprio Bootle,30,CB,DEV,70,180,1,Nebraska,25
Cortez Broughton,,DT,TRD,74,293,3,Cincinnati,25
Orlando Brown,57,OT,ACT,80,340,5,Oklahoma,25
Shane Buechele,12,QB,ACT,72,210,2,SMU,25
Michael Burton,45,FB,ACT,71,242,8,Rutgers,25
Deon Bush,26,DB,ACT,72,200,7,Miami,25
Harrison Butker,7,K,ACT,76,199,6,Georgia Tech,25
Mike Caliendo,66,G,DEV,76,300,,R,25
Leo Chenal,54,OLB,ACT,75,250,,R,25
Geron Christian,74,OT,ACT,77,298,5,Louisville,25
Cole Christiansen,48,LB,DEV,73,230,1,Army,25
Frank Clark,55,DE,ACT,75,272,8,Michigan,25
Jack Cochrane,43,LB,ACT,75,236,,R,25
Corey Coleman,,WR,CUT,71,185,5,Baylor,25
Chris Conley,,WR,TRD,75,205,8,Georgia,25
Bryan Cook,6,SAF,ACT,73,206,,R,25
Michael Danna,51,DE,ACT,74,257,3,Michigan,25
Carlos Dunlap,8,DE,ACT,78,277,13,Florida,25
Jerrion Ealy,29,RB,DEV,68,187,,R,25
Bryan Edwards,,WR,DEV,75,215,3,South Carolina,25
Clyde Edwards-Helaire,25,RB,RES,67,207,3,LSU,25
Rashad Fenton,27,DB,TRC,71,188,4,South Carolina,25
Jody Fortson,88,TE,ACT,76,226,2,Valdosta State,25
Daurice Fountain,82,WR,TRC,74,206,4,Northern Iowa,25
Jordan Franks,46,TE,DEV,76,232,2,UCF,25
Wayne Gallman,31,RB,TRC,72,210,6,Clemson,25
Willie Gay Jr.,50,OLB,ACT,73,243,3,Mississippi State,25
Melvin Gordon,,RB,DEV,73,215,8,Wisconsin,25
Noah Gray,83,TE,ACT,75,240,2,Duke,25
Mecole Hardman,17,WR,RES,70,187,4,Georgia,25
Darius Harris,47,OLB,ACT,74,232,3,Middle Tennessee State,25
Chad Henne,4,QB,ACT,75,230,15,Michigan,25
Malik Herring,94,DE,ACT,75,275,1,Georgia,25
Creed Humphrey,52,C,ACT,76,302,2,Oklahoma,25
Nazeeh Johnson,13,CB,ACT,70,199,,R,25
Chris Jones,95,DT,ACT,78,310,7,Mississippi State,25
Ronald Jones,2,RB,ACT,71,205,5,USC,25
Jarmar Julien,27,RB,RET,70,240,1,San Jose State,25
Joshua Kaindoh,59,DE,ACT,78,260,2,Florida State,25
Azur Kamara,93,DE,CUT,76,235,3,Kansas,25
George Karlaftis,56,DE,ACT,76,263,,R,25
Travis Kelce,87,TE,ACT,77,250,10,Cincinnati,25
Marcus Kemp,84,WR,DEV,76,210,5,Hawaii,25
Darian Kinnard,75,G,ACT,77,322,,R,25
Chris Lammons,29,DB,ACT,69,194,3,South Carolina,25
Elijah Lee,44,OLB,DEV,74,229,6,Kansas State,25
Patrick Mahomes,15,QB,ACT,74,225,6,Texas Tech,25
Trent McDuffie,21,CB,ACT,71,193,,R,25
Jerick McKinnon,1,RB,ACT,69,209,9,Georgia Southern,25
Skyy Moore,24,WR,ACT,70,195,,R,25
Lucas Niang,67,OT,ACT,78,315,2,TCU,25
Derrick Nnadi,91,DT,ACT,73,317,5,Florida State,25
Chris Oladokun,19,QB,DEV,74,195,,R,25
Isiah Pacheco,10,RB,ACT,70,216,,R,25
Cornell Powell,14,WR,DEV,72,204,1,Clemson,25
Justin Reid,20,S,ACT,73,207,5,Stanford,25
Austin Reiter,61,C,DEV,75,300,7,University of South Florida,25
Justyn Ross,8,WR,RES,76,205,,R,25
Khalen Saunders,99,DT,ACT,72,324,4,Western Illinois,25
Danny Shelton,75,DT,DEV,74,345,8,Washington,25
Trey Smith,65,G,ACT,78,321,2,Tennessee,25
Ihmir Smith-Marsette,82,WR,ACT,73,185,2,Iowa,25
JuJu Smith-Schuster,9,WR,ACT,73,215,6,USC,25
L'Jarius Sneed,38,CB,ACT,73,192,3,Louisiana Tech,25
Taylor Stallworth,90,DT,TRD,74,300,4,South Carolina,25
Juan Thornhill,22,FS,ACT,72,205,4,Virginia,25
Joe Thuney,62,G,ACT,77,304,7,N.C. State,25
Kadarius Toney,19,WR,ACT,72,193,2,Florida,25
Tommy Townsend,5,P,ACT,73,191,3,Florida,25
Marquez Valdes-Scantling,11,WR,ACT,76,206,5,University of South Florida,25
Prince Tega Wanogho,70,OT,ACT,77,308,2,Auburn,25
Jaylen Watson,35,CB,ACT,74,197,,R,25
Justin Watson,84,WR,ACT,74,215,5,Penn,25
Tershawn Wharton,98,DE,RES,73,280,3,Missouri-Rolla,25
Benton Whitley,,LB,TRC,76,260,,R,25
James Wiggins,,SAF,CUT,71,209,2,Cincinnati,25
Brandon Williams,98,DE,ACT,73,336,10,Missouri Southern,25
Joshua Williams,23,CB,ACT,75,193,,R,25
James Winchester,41,LS,ACT,75,209,8,Oklahoma,25
Matthew Wright,15,K,TRD,71,174,2,UCF,25
Andrew Wylie,77,OT,ACT,77,304,5,Eastern Michigan,25
Micah Abernathy,46,DB,DEV,72,196,1,Tennessee,29
Johnathan Abram,44,S,TRD,72,205,4,Mississippi State,29
Ramiz Ahmed,45,K,DEV,72,190,1,Nevada,29
Jaire Alexander,23,CB,ACT,70,196,5,Louisville,29
Adrian Amos,31,S,ACT,72,214,8,Penn State,29
Josh Babicz,,TE,CUT,78,255,,R,29
Kawaan Baker,,WR,TRD,73,215,1,South Alabama,29
David Bakhtiari,69,OT,ACT,76,310,10,Colorado,29
Corey Ballentine,35,DB,ACT,72,196,4,Washburn,29
Krys Barnes,51,LB,ACT,74,229,3,UCLA,29
Shaun Beyer,80,TE,CUT,77,248,1,Iowa,29
Gabe Brkic,45,K,CUT,74,198,,R,29
Mike Brown,,DB,TRC,73,222,,R,29
De'Vondre Campbell,59,ILB,ACT,75,232,7,Minnesota,29
Tariq Carpenter,24,SAF,ACT,75,230,,R,29
Kenny Clark,97,NT,ACT,75,314,7,UCLA,29
Randall Cobb,18,WR,ACT,70,195,12,Kentucky,29
Jack Coco,56,LS,ACT,74,248,,R,29
Jeff Cotton,,WR,DEV,74,204,1,Idaho,29
Mason Crosby,2,K,ACT,73,207,16,Colorado,29
Tyler Davis,84,TE,ACT,76,252,3,Georgia Tech,29
Josiah Deguara,81,TE,ACT,74,238,3,Cincinnati,29
AJ Dillon,28,RB,ACT,72,247,3,Boston College,29
Romeo Doubs,87,WR,ACT,74,204,,R,29
Rasul Douglas,29,CB,ACT,74,209,6,West Virginia,29
Kingsley Enagbare,55,OLB,ACT,76,258,,R,29
Danny Etling,19,QB,DEV,75,220,1,LSU,29
